"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location","Container Size/Type"
="6181429080","CSLU200428-7","Intradin Huzhou Hardware Co., Ltd","Prince Rupert","Memphis","Tennessee","United States","06/01/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/09/2018 4:57","CDT","Shanghai, Shanghai, CHINA","20GP",
="6182110110","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6182110110","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6182110120","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6182110120","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6160596700","TCNU644757-9","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/09/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/10/2018 18:30","CDT","Qingdao, Qingdao, Shandong, China","40HQ",
="6160597320","TCNU259060-0","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/09/2018 5:22","CDT","Tianjin Binhai COSCO Ctn Logistics, Xingang, Tianjin, China","40HQ",
="6160597340","CCLU689366-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/09/2018 5:25","CDT","Tianjin Binhai COSCO Ctn Logistics, Xingang, Tianjin, China","40HQ",
="6185488790","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","20GP",
="6185516940","Unassigned","Qingdao Crowntyre Industrial Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6160597370","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6185511510","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","20GP",
="6185511520","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","20GP",
="6160596710","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/22/2018 7:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6160597350","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/22/2018 7:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6160597360","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/22/2018 7:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
