"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location"
="6160598220","CCLU769484-1","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/02/2018 6:34","CDT","Xingang, Xingang, Tianjin, China",
="6160598230","BMOU455577-6","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/02/2018 6:34","CDT","Xingang, Xingang, Tianjin, China",
="6179386310","DFSU156558-2","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/04/2018 16:42","CDT","Qingdao, Qingdao, Shandong, China",
="6181429080","CSLU200428-7","Iti Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/06/2018 8:57","CDT","Yutong Int'l Ctn Integrated Service, Shanghai, Shanghai, China",
="6182552700","CBHU568861-8","Hebei Xingyue Braking Element Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/04/2018 16:42","CDT","Qingdao, Qingdao, Shandong, China",
="6160596700","TCNU644757-9","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/09/2018 8:00 (Estimated)","CDT","","","","","Container Arrival at First Port of Load","05/04/2018 17:09","CDT","Xingang, Xingang, Tianjin, China",
="6160597320","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","No event received","","","",
="6185488790","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/12/2018 8:00 (Estimated)","CDT","","","","","No event received","","","",
="6160596710","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/14/2018 7:00 (Estimated)","CDT","","","","","No event received","","","",
="6160597330","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/14/2018 7:00 (Estimated)","CDT","","","","","No event received","","","",
="6160597340","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/14/2018 7:00 (Estimated)","CDT","","","","","No event received","","","",
="6160597370","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","","","No event received","","","",
="6160597350","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/22/2018 7:00 (Estimated)","CDT","","","","","No event received","","","",
="6160597360","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","06/22/2018 7:00 (Estimated)","CDT","","","","","No event received","","","",
