"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6160593130",="6160593130","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/19/2018","Estimated","","","Vessel Departure at First POL","04/19/2018","Xingang, Xingang","","","","Not Cleared","","Held","BSIU956318-9","40HQ",
="6160595830",="6160595830","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Estimated","","","Vessel Departure at First POL","04/26/2018","Xingang, Xingang","","","","Not Cleared","","Held","CCLU663506-3","40HQ",
="6160595850",="6160595850","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/25/2018","Estimated","","","Vessel Departure at First POL","04/26/2018","Xingang, Xingang","","","","Not Cleared","","Held","CCLU725168-0","40HQ",
="6160596190",="6160596190","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Estimated","","","Vessel Departure at First POL","04/26/2018","Xingang, Xingang","","","","Not Cleared","","Held","CBHU705070-4","40HQ",
="",="6160595840","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","04/28/2018","Estimated","05/30/2018","Estimated","","","Full Container Received by Carrier at Origin","04/28/2018","Tianjin Port Alltance Int'l Ctn Tml, Xingang","","","","","","","UETU516083-1","40HQ",
="",="6160598220","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","04/28/2018","Estimated","05/30/2018","Estimated","","","Container Arrival at First Port of Load","04/28/2018","Xingang, Xingang","","","","","","","CCLU769484-1","40HQ",
="",="6160598230","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","04/28/2018","Estimated","05/30/2018","Estimated","","","Full Container Received by Carrier at Origin","04/28/2018","Tianjin Port Alltance Int'l Ctn Tml, Xingang","","","","","","","BMOU455577-6","40HQ",
="",="6160596700","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/09/2018","Estimated","06/09/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160598210","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/09/2018","Estimated","06/10/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160596710","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/09/2018","Estimated","06/10/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597340","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/17/2018","Estimated","06/14/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597320","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/17/2018","Estimated","06/12/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597330","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/17/2018","Estimated","06/14/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597350","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/23/2018","Estimated","06/22/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597370","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/23/2018","Estimated","06/18/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597360","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/23/2018","Estimated","06/22/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
