"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6160592460",="6160592460","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/09/2018","Actual","05/01/2018","Prince Rupert, Prince Rupert","Picked up at Final Destination for Delivery","05/11/2018","CN (Memphis), Memphis","05/08/2018","Prince Rupert","05/03/2018","Cleared","05/07/2018","Cleared","CCLU688295-2","40HQ",
="6160593110",="6160593110","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/19/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/11/2018","Long Beach, Long Beach","","","","","","Held","CCLU797283-4","40HQ",
="6160593120",="6160593120","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/19/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/11/2018","Long Beach, Long Beach","","","","","","Held","TCNU228429-9","40HQ",
="6160593130",="6160593130","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/17/2018","Estimated","05/07/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/07/2018","CN Prince Rupert, Prince Rupert","","","","","","Held","BSIU956318-9","40HQ",
="6160595830",="6160595830","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/13/2018","Prince Rupert, Prince Rupert","","","","","","Held","CCLU663506-3","40HQ",
="6160595850",="6160595850","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/27/2018","Estimated","","","Vessel Departure at First POL","04/26/2018","Xingang, Xingang","","","","","","Held","CCLU725168-0","40HQ",
="6160596190",="6160596190","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/13/2018","Prince Rupert, Prince Rupert","","","","","","Held","CBHU705070-4","40HQ",
="6160595840",="6160595840","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/28/2018","Estimated","","","Vessel Departure at First POL","05/02/2018","Xingang, Xingang","","","","","","Held","UETU516083-1","40HQ",
="6160598220",="6160598220","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/28/2018","Estimated","","","Vessel Departure at First POL","05/02/2018","Xingang, Xingang","","","","","","Held","CCLU769484-1","40HQ",
="6160598230",="6160598230","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/28/2018","Estimated","","","Vessel Departure at First POL","05/02/2018","Xingang, Xingang","","","","","","Held","BMOU455577-6","40HQ",
="6160596700",="6160596700","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO PRIDE-042-East","05/09/2018","Actual","06/09/2018","Estimated","","","Vessel Departure at Transshipment Port","05/13/2018","Qingdao, Qingdao","","","","","","Held","TCNU644757-9","40HQ",
="6160598210",="6160598210","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO PRIDE-042-East","05/09/2018","Actual","","Estimated","","","Vessel Departure at Transshipment Port","05/13/2018","Qingdao, Qingdao","","","","","","Held","CXDU122177-4","40HQ",
="",="6160597330","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/19/2018","Estimated","","","","","Full Container Received by Carrier at Origin","05/13/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","SEGU443110-8","40HQ",
="",="6160597340","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/19/2018","Estimated","06/12/2018","Estimated","","","Full Container Received by Carrier at Origin","05/13/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","CCLU689366-4","40HQ",
="",="6160597320","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/19/2018","Estimated","06/12/2018","Estimated","","","Full Container Received by Carrier at Origin","05/13/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","TCNU259060-0","40HQ",
="",="6160596710","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/23/2018","Estimated","06/22/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597350","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/23/2018","Estimated","06/22/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597360","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","05/23/2018","Estimated","06/22/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6160597370","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/23/2018","Estimated","06/18/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
